+----------+-------------+------------------------------------------+------------+----------+----------+
|   CODIGO | CATEGORIA   | DESCRIPCION                              |   CANTIDAD |   PRECIO |      PVP |
+==========+=============+==========================================+============+==========+==========+
|        3 | BULONERIA   | TORNILLO CABEZA HEXAGONAL M12X45         |         12 |   560.00 |   510.00 |
|        4 | BULONERIA   | TORNILLO FIX 6X55                        |         23 |    32.45 |    34.12 |
|        5 | BULONERIA   | TORNILLO FIX 5X45                        |         34 |    23.00 |    23.00 |
|        6 | BULONERIA   | TUERCA M10 DUREZA 8                      |        560 |    26.00 |    28.00 |
|        7 | BULONERIA   | ARANDELA M6X20MM                         |        789 |    12.00 |    15.00 |
|        8 | BULONERIA   | TORNILLO ALLEN M4X50 CABEZA CILINDRICA   |        343 |   100.00 |   110.00 |
|        9 | BULONERIA   | TORNILLO ALLEN M6X35 CABEZA CILINDRICA   |        234 |    76.00 |    78.00 |
|       10 | BULONERIA   | ARANDELA DE PRESION 1/4"                 |        500 |    13.00 |    15.00 |
|       11 | BULONERIA   | ARANDELA GROOVER 5/8"                    |        400 |    21.00 |    24.00 |
|       12 | BULONERIA   | TORNILLO ALLEN CABEZA FRESASA M8X40      |         50 |   100.00 |   105.00 |
|        1 | BULONERIA   | TORNILLO PARKER 3MM PHILIPS              |       2323 |    12.00 |    14.00 |
|       13 | BULONERIA   | TORNILLO FIX 4.5X40                      |        400 |    20.00 |    23.00 |
|       14 | BULONERIA   | TUERCA AUTOFRENANTE M8 ZINCADA           |        435 |    25.00 |    26.00 |
|       15 | BULONERIA   | TUERCA AUTOFRENANTE M6 ZINCADA           |        564 |    20.00 |    23.00 |
|       16 | BULONERIA   | TORNILLO CABEZA HEXAGONAL 3/8 WHITWORTH  |        120 |    15.00 |    16.00 |
|       17 | BULONERIA   | TORNILLO CABEZA HEXAGONAL 5/16 WHITWORTH |        300 |    14.00 |    15.00 |
|       18 | BULONERIA   | ARANDELA BISELADA M8 ZINC                |        369 |    20.00 |    24.00 |
|      235 | FERRETERIA  | LIMA BASTARDA 10 PULGADAS                |         25 |  2500.00 |  2950.00 |
|    34342 | BULONERIA   | TORNILLO PRISIONERO M6                   |        333 |    34.00 |    50.00 |
|     4586 | FERRETERIA  | LLAVE COMBINADA N19                      |         45 |  2000.00 |  2500.00 |
|     6985 | FERRETERIA  | LLAVE COMBINADA N13                      |         10 |  1900.00 |  2400.00 |
|   232424 | FERRETERIA  | LLAVE COMBINADA N12                      |         23 |  1300.00 |  1500.00 |
|    45332 | FERRETERIA  | LLAVE FRANCESA 10 PULGADAS               |        234 |  2300.00 |  3000.43 |
|     4585 | FERRETERIA  | CALIBRE ANALOGICO ACERO INOX 150MM       |         12 | 19000.00 | 25500.00 |
|     8998 | FERRETERIA  | DESTORNILLADOR PLANO 4X150MM             |         15 |  1500.00 |  1720.60 |
|     9854 | FERRETERIA  | BASE MAGNETIA ARTICULADA 300M            |          2 | 35000.00 | 42562.36 |
|      658 | FERRETERIA  | DESTORNILLADOR PH1X150MM                 |         12 |  1000.00 |  1253.00 |
|    45875 | FERRETERIA  | MECHA ACERO RAPIDO 2MM                   |         10 |   450.00 |   510.00 |
|    45869 | FERRETERIA  | MECHA ACERO RAPIDO 4MM                   |         10 |   560.00 |   595.00 |
|     6958 | FERRETERIA  | FRESA AVELLANADORA M6 ENCASTRE 1/4       |         50 |  3500.00 |  4002.00 |
|     7485 | FERRETERIA  | TUBO ESTRIADO METRICO 15 1/2             |         15 |  1400.00 |  1745.00 |
|     9658 | FERRETERIA  | NIVEL LASER 15M ALCANCE EJE X/Y          |          2 | 56000.00 | 62355.14 |
|    69658 | FERRETERIA  | TORNILLO MICROMETRICO 25-50MM            |          2 | 45752.36 | 55000.00 |
